Num FreeMem LAone LAfive LAten Prun Ptotal
 0 274768 0.750000 0.550000 0.720000 2 412
 1 274664 0.690000 0.540000 0.720000 1 411
 2 274712 0.690000 0.540000 0.720000 2 411
 3 274816 0.630000 0.530000 0.710000 1 412
 4 274740 0.630000 0.530000 0.710000 2 411
 5 274808 0.630000 0.530000 0.710000 3 409
 6 274792 0.580000 0.520000 0.710000 2 410
 7 274836 0.580000 0.520000 0.710000 2 405
 8 274900 0.530000 0.510000 0.710000 2 405
 9 274916 0.530000 0.510000 0.710000 2 405
 10 275056 0.530000 0.510000 0.710000 2 405
 11 274964 0.490000 0.500000 0.700000 1 405
 12 274980 0.490000 0.500000 0.700000 1 405
 13 275120 0.450000 0.490000 0.700000 2 405
 14 275056 0.450000 0.490000 0.700000 2 405
 15 274884 0.450000 0.490000 0.700000 2 405
 16 274620 0.410000 0.490000 0.690000 2 405
 17 274652 0.410000 0.490000 0.690000 2 405
 18 274756 0.380000 0.480000 0.690000 2 405
 19 274716 0.380000 0.480000 0.690000 2 405
 20 274684 0.380000 0.480000 0.690000 2 405
 21 274700 0.350000 0.470000 0.690000 2 405
 22 274624 0.350000 0.470000 0.690000 2 405
 23 274624 0.320000 0.460000 0.680000 2 405
 24 274548 0.320000 0.460000 0.680000 2 405
 25 274216 0.320000 0.460000 0.680000 2 405
 26 274272 0.300000 0.450000 0.680000 2 405
 27 274292 0.300000 0.450000 0.680000 2 406
 28 274468 0.270000 0.450000 0.670000 2 405
 29 274376 0.270000 0.450000 0.670000 2 405
 30 274360 0.270000 0.450000 0.670000 1 405
 31 274532 0.250000 0.440000 0.670000 3 405
 32 274344 0.250000 0.440000 0.670000 2 406
 33 273700 0.230000 0.430000 0.670000 2 405
 34 273716 0.230000 0.430000 0.670000 2 405
 35 273468 0.230000 0.430000 0.670000 2 405
 36 273484 0.210000 0.420000 0.660000 2 405
 37 273532 0.210000 0.420000 0.660000 2 405
 38 273528 0.190000 0.420000 0.660000 2 405
 39 273508 0.190000 0.420000 0.660000 2 405
 40 273596 0.190000 0.420000 0.660000 2 405
 41 273472 0.180000 0.410000 0.650000 2 405
 42 273636 0.180000 0.410000 0.650000 2 405
 43 273320 0.160000 0.400000 0.650000 2 406
 44 273480 0.160000 0.400000 0.650000 2 406
 45 273428 0.160000 0.400000 0.650000 1 406
 46 273392 0.150000 0.390000 0.650000 2 406
 47 273392 0.150000 0.390000 0.650000 2 406
 48 273376 0.220000 0.400000 0.650000 2 406
 49 273488 0.220000 0.400000 0.650000 1 402
 50 273504 0.220000 0.400000 0.650000 2 401
 51 273396 0.200000 0.400000 0.640000 2 401
 52 273444 0.200000 0.400000 0.640000 2 401
 53 273472 0.180000 0.390000 0.640000 2 401
 54 273268 0.180000 0.390000 0.640000 1 401
 55 273316 0.180000 0.390000 0.640000 2 401
 56 273316 0.170000 0.380000 0.640000 2 401
